요일,출발,x1,y1,도착,x2,y2,이동인구(합)
주중,11230,37.514575,127.049555555555,11220,37.4807861111111,127.034811111111,36395.0
주중,11140,37.5607055555555,126.910530555555,11130,37.5763666666666,126.938897222222,28422.0
주중,11230,37.514575,127.049555555555,11240,37.5117555555555,127.107930555555,27661.0
주중,11220,37.4807861111111,127.034811111111,11230,37.514575,127.049555555555,23369.0
주중,11230,37.514575,127.049555555555,11210,37.4753861111111,126.953844444444,21450.0
주중,11130,37.5763666666666,126.938897222222,11140,37.5607055555555,126.910530555555,17136.0
주중,11240,37.5117555555555,127.107930555555,11250,37.5273666666666,127.125863888888,16469.0
주중,11230,37.514575,127.049555555555,11050,37.5357388888888,127.084533333333,16028.0
주중,11140,37.5607055555555,126.910530555555,11120,37.5096555555555,126.941575,14422.0
주중,11150,37.5142305555555,126.868708333333,11160,37.5481555555555,126.851675,14406.0
주중,11160,37.5481555555555,126.851675,11150,37.5142305555555,126.868708333333,13496.0
주중,11220,37.4807861111111,127.034811111111,11210,37.4753861111111,126.953844444444,13260.0
주중,11230,37.514575,127.049555555555,11040,37.5606111111111,127.039,12791.0
주중,11230,37.514575,127.049555555555,11200,37.5096555555555,126.941575,12513.0
주중,11010,37.5703777777777,126.981641666666,11080,37.5863833333333,127.020333333333,12071.0
주중,11020,37.5610027777777,126.999641666666,11010,37.5703777777777,126.981641666666,11903.0
주중,11040,37.5606111111111,127.039,11050,37.5357388888888,127.084533333333,11394.0
주중,11210,37.4753861111111,126.953844444444,11200,37.5096555555555,126.941575,11235.0
주중,11140,37.5607055555555,126.910530555555,11160,37.5481555555555,126.851675,11209.0
주중,11240,37.5117555555555,127.107930555555,11230,37.514575,127.049555555555,11202.0
주중,11200,37.5096555555555,126.941575,11210,37.4753861111111,126.953844444444,11137.0
주중,11220,37.4807861111111,127.034811111111,11200,37.5096555555555,126.941575,11048.0
주중,11140,37.5607055555555,126.910530555555,11190,37.5236111111111,126.898341666666,10594.0
주중,11050,37.5357388888888,127.084533333333,11040,37.5606111111111,127.039,10161.0
주중,11140,37.5607055555555,126.910530555555,11210,37.4753861111111,126.953844444444,10038.0
주중,11010,37.5703777777777,126.981641666666,11020,37.5610027777777,126.999641666666,10002.0
주중,11190,37.5236111111111,126.898341666666,11170,37.49265,126.889597222222,9905.0
주중,11190,37.5236111111111,126.898341666666,11200,37.5096555555555,126.941575,9503.0
주중,11190,37.5236111111111,126.898341666666,11160,37.5481555555555,126.851675,9243.0
주중,11020,37.5610027777777,126.999641666666,11060,37.571625,127.042141666666,9241.0
주중,11190,37.5236111111111,126.898341666666,11210,37.4753861111111,126.953844444444,9209.0
주중,11020,37.5610027777777,126.999641666666,11080,37.5863833333333,127.020333333333,9036.0
주중,11250,37.5273666666666,127.125863888888,11240,37.5117555555555,127.107930555555,9007.0
주중,11230,37.514575,127.049555555555,11250,37.5273666666666,127.125863888888,8852.0
주중,11140,37.5607055555555,126.910530555555,11030,37.5360944444444,126.967522222222,8539.0
주중,11230,37.514575,127.049555555555,11030,37.5360944444444,126.967522222222,8314.0
주중,11130,37.5763666666666,126.938897222222,11120,37.5096555555555,126.941575,8284.0
주중,11040,37.5606111111111,127.039,11060,37.571625,127.042141666666,8180.0
주중,11080,37.5863833333333,127.020333333333,11060,37.571625,127.042141666666,8147.0
주중,11240,37.5117555555555,127.107930555555,11050,37.5357388888888,127.084533333333,8096.0
주중,11090,37.6369555555555,127.027719444444,11100,37.6658333333333,127.049522222222,8082.0
주중,11230,37.514575,127.049555555555,11140,37.5607055555555,126.910530555555,8059.0
주중,11020,37.5610027777777,126.999641666666,11040,37.5606111111111,127.039,8019.0
주중,11230,37.514575,127.049555555555,11060,37.571625,127.042141666666,7851.0
주중,11080,37.5863833333333,127.020333333333,11090,37.6369555555555,127.027719444444,7743.0
주중,11030,37.5360944444444,126.967522222222,11140,37.5607055555555,126.910530555555,7692.0
주중,11230,37.514575,127.049555555555,11190,37.5236111111111,126.898341666666,7569.0
주중,11110,37.6514611111111,127.058388888888,11100,37.6658333333333,127.049522222222,7518.0
주중,11220,37.4807861111111,127.034811111111,11240,37.5117555555555,127.107930555555,7423.0
주중,11230,37.514575,127.049555555555,11080,37.5863833333333,127.020333333333,7273.0
주중,11090,37.6369555555555,127.027719444444,11080,37.5863833333333,127.020333333333,7248.0
주중,11230,37.514575,127.049555555555,11110,37.6514611111111,127.058388888888,7180.0
주중,11230,37.514575,127.049555555555,11160,37.5481555555555,126.851675,7122.0
주중,11230,37.514575,127.049555555555,11070,37.6038055555555,127.094777777777,7116.0
주중,11190,37.5236111111111,126.898341666666,11140,37.5607055555555,126.910530555555,7004.0
주중,11020,37.5610027777777,126.999641666666,11140,37.5607055555555,126.910530555555,6871.0
주중,11010,37.5703777777777,126.981641666666,11060,37.571625,127.042141666666,6766.0
주중,11050,37.5357388888888,127.084533333333,11070,37.6038055555555,127.094777777777,6539.0
주중,11060,37.571625,127.042141666666,11080,37.5863833333333,127.020333333333,6373.0
주중,11010,37.5703777777777,126.981641666666,11130,37.5763666666666,126.938897222222,6359.0
주중,11170,37.49265,126.889597222222,11190,37.5236111111111,126.898341666666,6281.0
주중,11190,37.5236111111111,126.898341666666,11150,37.5142305555555,126.868708333333,6252.0
주중,11120,37.5096555555555,126.941575,11130,37.5763666666666,126.938897222222,6244.0
주중,11020,37.5610027777777,126.999641666666,11130,37.5763666666666,126.938897222222,6171.0
주중,11060,37.571625,127.042141666666,11040,37.5606111111111,127.039,6141.0
주중,11050,37.5357388888888,127.084533333333,11240,37.5117555555555,127.107930555555,6051.0
주중,11110,37.6514611111111,127.058388888888,11070,37.6038055555555,127.094777777777,5991.0
주중,11050,37.5357388888888,127.084533333333,11060,37.571625,127.042141666666,5963.0
주중,11140,37.5607055555555,126.910530555555,11080,37.5863833333333,127.020333333333,5717.0
주중,11200,37.5096555555555,126.941575,11190,37.5236111111111,126.898341666666,5628.0
주중,11140,37.5607055555555,126.910530555555,11200,37.5096555555555,126.941575,5532.0
주중,11140,37.5607055555555,126.910530555555,11150,37.5142305555555,126.868708333333,5503.0
주중,11030,37.5360944444444,126.967522222222,11200,37.5096555555555,126.941575,5485.0
주중,11070,37.6038055555555,127.094777777777,11110,37.6514611111111,127.058388888888,5467.0
주중,11230,37.514575,127.049555555555,11120,37.5096555555555,126.941575,5427.0
주중,11170,37.49265,126.889597222222,11210,37.4753861111111,126.953844444444,5337.0
주중,11060,37.571625,127.042141666666,11070,37.6038055555555,127.094777777777,5328.0
주중,11040,37.5606111111111,127.039,11020,37.5610027777777,126.999641666666,5268.0
주중,11030,37.5360944444444,126.967522222222,11230,37.514575,127.049555555555,5267.0
주중,11020,37.5610027777777,126.999641666666,11030,37.5360944444444,126.967522222222,5266.0
주중,11170,37.49265,126.889597222222,11180,37.4491083333333,126.904197222222,5182.0
주중,11230,37.514575,127.049555555555,11130,37.5763666666666,126.938897222222,5140.0
주중,11100,37.6658333333333,127.049522222222,11090,37.6369555555555,127.027719444444,5140.0
주중,11230,37.514575,127.049555555555,11170,37.49265,126.889597222222,5064.0
주중,11030,37.5360944444444,126.967522222222,11210,37.4753861111111,126.953844444444,5011.0
주중,11100,37.6658333333333,127.049522222222,11110,37.6514611111111,127.058388888888,4959.0
주중,11010,37.5703777777777,126.981641666666,11140,37.5607055555555,126.910530555555,4949.0
주중,11200,37.5096555555555,126.941575,11220,37.4807861111111,127.034811111111,4948.0
주중,11140,37.5607055555555,126.910530555555,11060,37.571625,127.042141666666,4940.0
주중,11140,37.5607055555555,126.910530555555,11170,37.49265,126.889597222222,4938.0
주중,11040,37.5606111111111,127.039,11230,37.514575,127.049555555555,4912.0
주중,11020,37.5610027777777,126.999641666666,11210,37.4753861111111,126.953844444444,4845.0
